Room Number,Description,Classroom Setup,Capacity
018-111,"Liberal Arts Building, Room 111A",Conference Style - Round,30
018-321,"Liberal Arts Building, Room 321",Traditional Classroom,48
021-200,"Biological Sciences Building, Room 200",Seminar Seating,10
025-4106,"Health and Learning Center, Room 4106",Traditional Classroom,36
025-4108,"Health and Learning Center, Room 4108",Traditional Classroom,38
027-208,"Eastburn Education Building, Room 208",Traditional Classroom,28
047-135,"ROTC Building, Room 135",Construction,24
066-316,"Health Professions Building, Room 316",Traditional Classroom,30
069-224,"Engineering Building, Room 224",Traditional Classroom,75
081-110,"W. A. Franke College of Business, Room 110",Traditional Classroom,46
082-135,"Southwest Forest Science Complex, Room 135",Traditional Classroom,28
